method,horizon,forecast_quarter,target_quarter,train_start,train_end,selected_variables
Threshold ridge,2,2013 Q3,2014 Q1,1993 Q3,2013 Q2,15
Post-threshold ridge,2,2013 Q3,2014 Q1,1993 Q3,2013 Q2,15
OCMT,2,2013 Q3,2014 Q1,1993 Q3,2013 Q2,0
BMT,2,2013 Q3,2014 Q1,1993 Q3,2013 Q2,0
AR,2,2013 Q4,2014 Q2,1993 Q4,2013 Q3,0
LASSO,2,2013 Q4,2014 Q2,1993 Q4,2013 Q3,1
Elastic net,2,2013 Q4,2014 Q2,1993 Q4,2013 Q3,0
Ridge,2,2013 Q4,2014 Q2,1993 Q4,2013 Q3,NA
Threshold ridge,2,2013 Q4,2014 Q2,1993 Q4,2013 Q3,14
Post-threshold ridge,2,2013 Q4,2014 Q2,1993 Q4,2013 Q3,14
OCMT,2,2013 Q4,2014 Q2,1993 Q4,2013 Q3,0
BMT,2,2013 Q4,2014 Q2,1993 Q4,2013 Q3,0
AR,2,2014 Q1,2014 Q3,1994 Q1,2013 Q4,0
LASSO,2,2014 Q1,2014 Q3,1994 Q1,2013 Q4,1
Elastic net,2,2014 Q1,2014 Q3,1994 Q1,2013 Q4,1
Ridge,2,2014 Q1,2014 Q3,1994 Q1,2013 Q4,NA
Threshold ridge,2,2014 Q1,2014 Q3,1994 Q1,2013 Q4,13
Post-threshold ridge,2,2014 Q1,2014 Q3,1994 Q1,2013 Q4,13
OCMT,2,2014 Q1,2014 Q3,1994 Q1,2013 Q4,0
BMT,2,2014 Q1,2014 Q3,1994 Q1,2013 Q4,0
AR,2,2014 Q2,2014 Q4,1994 Q2,2014 Q1,0
LASSO,2,2014 Q2,2014 Q4,1994 Q2,2014 Q1,0
Elastic net,2,2014 Q2,2014 Q4,1994 Q2,2014 Q1,0
Ridge,2,2014 Q2,2014 Q4,1994 Q2,2014 Q1,NA
Threshold ridge,2,2014 Q2,2014 Q4,1994 Q2,2014 Q1,15
Post-threshold ridge,2,2014 Q2,2014 Q4,1994 Q2,2014 Q1,15
OCMT,2,2014 Q2,2014 Q4,1994 Q2,2014 Q1,0
BMT,2,2014 Q2,2014 Q4,1994 Q2,2014 Q1,0
AR,2,2014 Q3,2015 Q1,1994 Q3,2014 Q2,0
LASSO,2,2014 Q3,2015 Q1,1994 Q3,2014 Q2,1
Elastic net,2,2014 Q3,2015 Q1,1994 Q3,2014 Q2,1
Ridge,2,2014 Q3,2015 Q1,1994 Q3,2014 Q2,NA
Threshold ridge,2,2014 Q3,2015 Q1,1994 Q3,2014 Q2,15
Post-threshold ridge,2,2014 Q3,2015 Q1,1994 Q3,2014 Q2,15
OCMT,2,2014 Q3,2015 Q1,1994 Q3,2014 Q2,0
BMT,2,2014 Q3,2015 Q1,1994 Q3,2014 Q2,0
AR,2,2014 Q4,2015 Q2,1994 Q4,2014 Q3,0
LASSO,2,2014 Q4,2015 Q2,1994 Q4,2014 Q3,0
Elastic net,2,2014 Q4,2015 Q2,1994 Q4,2014 Q3,0
Ridge,2,2014 Q4,2015 Q2,1994 Q4,2014 Q3,NA
Threshold ridge,2,2014 Q4,2015 Q2,1994 Q4,2014 Q3,14
Post-threshold ridge,2,2014 Q4,2015 Q2,1994 Q4,2014 Q3,14
OCMT,2,2014 Q4,2015 Q2,1994 Q4,2014 Q3,0
BMT,2,2014 Q4,2015 Q2,1994 Q4,2014 Q3,0
AR,2,2015 Q1,2015 Q3,1995 Q1,2014 Q4,0
LASSO,2,2015 Q1,2015 Q3,1995 Q1,2014 Q4,0
Elastic net,2,2015 Q1,2015 Q3,1995 Q1,2014 Q4,0
Ridge,2,2015 Q1,2015 Q3,1995 Q1,2014 Q4,NA
Threshold ridge,2,2015 Q1,2015 Q3,1995 Q1,2014 Q4,13
Post-threshold ridge,2,2015 Q1,2015 Q3,1995 Q1,2014 Q4,13
OCMT,2,2015 Q1,2015 Q3,1995 Q1,2014 Q4,0
BMT,2,2015 Q1,2015 Q3,1995 Q1,2014 Q4,0
AR,2,2015 Q2,2015 Q4,1995 Q2,2015 Q1,0
LASSO,2,2015 Q2,2015 Q4,1995 Q2,2015 Q1,0
Elastic net,2,2015 Q2,2015 Q4,1995 Q2,2015 Q1,0
Ridge,2,2015 Q2,2015 Q4,1995 Q2,2015 Q1,NA
Threshold ridge,2,2015 Q2,2015 Q4,1995 Q2,2015 Q1,13
Post-threshold ridge,2,2015 Q2,2015 Q4,1995 Q2,2015 Q1,13
OCMT,2,2015 Q2,2015 Q4,1995 Q2,2015 Q1,0
BMT,2,2015 Q2,2015 Q4,1995 Q2,2015 Q1,0
AR,2,2015 Q3,2016 Q1,1995 Q3,2015 Q2,0
LASSO,2,2015 Q3,2016 Q1,1995 Q3,2015 Q2,0
Elastic net,2,2015 Q3,2016 Q1,1995 Q3,2015 Q2,0
Ridge,2,2015 Q3,2016 Q1,1995 Q3,2015 Q2,NA
Threshold ridge,2,2015 Q3,2016 Q1,1995 Q3,2015 Q2,13
Post-threshold ridge,2,2015 Q3,2016 Q1,1995 Q3,2015 Q2,13
OCMT,2,2015 Q3,2016 Q1,1995 Q3,2015 Q2,0
BMT,2,2015 Q3,2016 Q1,1995 Q3,2015 Q2,0
AR,2,2015 Q4,2016 Q2,1995 Q4,2015 Q3,0
LASSO,2,2015 Q4,2016 Q2,1995 Q4,2015 Q3,0
Elastic net,2,2015 Q4,2016 Q2,1995 Q4,2015 Q3,0
Ridge,2,2015 Q4,2016 Q2,1995 Q4,2015 Q3,NA
Threshold ridge,2,2015 Q4,2016 Q2,1995 Q4,2015 Q3,13
Post-threshold ridge,2,2015 Q4,2016 Q2,1995 Q4,2015 Q3,13
OCMT,2,2015 Q4,2016 Q2,1995 Q4,2015 Q3,0
BMT,2,2015 Q4,2016 Q2,1995 Q4,2015 Q3,0
AR,2,2016 Q1,2016 Q3,1996 Q1,2015 Q4,0
LASSO,2,2016 Q1,2016 Q3,1996 Q1,2015 Q4,0
Elastic net,2,2016 Q1,2016 Q3,1996 Q1,2015 Q4,0
Ridge,2,2016 Q1,2016 Q3,1996 Q1,2015 Q4,NA
Threshold ridge,2,2016 Q1,2016 Q3,1996 Q1,2015 Q4,12
Post-threshold ridge,2,2016 Q1,2016 Q3,1996 Q1,2015 Q4,12
OCMT,2,2016 Q1,2016 Q3,1996 Q1,2015 Q4,0
BMT,2,2016 Q1,2016 Q3,1996 Q1,2015 Q4,0
AR,2,2016 Q2,2016 Q4,1996 Q2,2016 Q1,0
LASSO,2,2016 Q2,2016 Q4,1996 Q2,2016 Q1,0
Elastic net,2,2016 Q2,2016 Q4,1996 Q2,2016 Q1,1
Ridge,2,2016 Q2,2016 Q4,1996 Q2,2016 Q1,NA
Threshold ridge,2,2016 Q2,2016 Q4,1996 Q2,2016 Q1,11
Post-threshold ridge,2,2016 Q2,2016 Q4,1996 Q2,2016 Q1,11
OCMT,2,2016 Q2,2016 Q4,1996 Q2,2016 Q1,0
BMT,2,2016 Q2,2016 Q4,1996 Q2,2016 Q1,0
AR,2,2016 Q3,2017 Q1,1996 Q3,2016 Q2,0
LASSO,2,2016 Q3,2017 Q1,1996 Q3,2016 Q2,1
Elastic net,2,2016 Q3,2017 Q1,1996 Q3,2016 Q2,0
Ridge,2,2016 Q3,2017 Q1,1996 Q3,2016 Q2,NA
Threshold ridge,2,2016 Q3,2017 Q1,1996 Q3,2016 Q2,11
Post-threshold ridge,2,2016 Q3,2017 Q1,1996 Q3,2016 Q2,11
OCMT,2,2016 Q3,2017 Q1,1996 Q3,2016 Q2,0
BMT,2,2016 Q3,2017 Q1,1996 Q3,2016 Q2,0
AR,2,2016 Q4,2017 Q2,1996 Q4,2016 Q3,0
LASSO,2,2016 Q4,2017 Q2,1996 Q4,2016 Q3,1
Elastic net,2,2016 Q4,2017 Q2,1996 Q4,2016 Q3,0
Ridge,2,2016 Q4,2017 Q2,1996 Q4,2016 Q3,NA
Threshold ridge,2,2016 Q4,2017 Q2,1996 Q4,2016 Q3,11
Post-threshold ridge,2,2016 Q4,2017 Q2,1996 Q4,2016 Q3,11
OCMT,2,2016 Q4,2017 Q2,1996 Q4,2016 Q3,0
BMT,2,2016 Q4,2017 Q2,1996 Q4,2016 Q3,0
AR,2,2017 Q1,2017 Q3,1997 Q1,2016 Q4,0
LASSO,2,2017 Q1,2017 Q3,1997 Q1,2016 Q4,0
Elastic net,2,2017 Q1,2017 Q3,1997 Q1,2016 Q4,0
Ridge,2,2017 Q1,2017 Q3,1997 Q1,2016 Q4,NA
Threshold ridge,2,2017 Q1,2017 Q3,1997 Q1,2016 Q4,13
Post-threshold ridge,2,2017 Q1,2017 Q3,1997 Q1,2016 Q4,13
OCMT,2,2017 Q1,2017 Q3,1997 Q1,2016 Q4,0
BMT,2,2017 Q1,2017 Q3,1997 Q1,2016 Q4,0
AR,2,2017 Q2,2017 Q4,1997 Q2,2017 Q1,0
LASSO,2,2017 Q2,2017 Q4,1997 Q2,2017 Q1,0
Elastic net,2,2017 Q2,2017 Q4,1997 Q2,2017 Q1,0
Ridge,2,2017 Q2,2017 Q4,1997 Q2,2017 Q1,NA
Threshold ridge,2,2017 Q2,2017 Q4,1997 Q2,2017 Q1,14
Post-threshold ridge,2,2017 Q2,2017 Q4,1997 Q2,2017 Q1,14
OCMT,2,2017 Q2,2017 Q4,1997 Q2,2017 Q1,0
BMT,2,2017 Q2,2017 Q4,1997 Q2,2017 Q1,0
AR,2,2017 Q3,2018 Q1,1997 Q3,2017 Q2,0
LASSO,2,2017 Q3,2018 Q1,1997 Q3,2017 Q2,0
Elastic net,2,2017 Q3,2018 Q1,1997 Q3,2017 Q2,0
Ridge,2,2017 Q3,2018 Q1,1997 Q3,2017 Q2,NA
Threshold ridge,2,2017 Q3,2018 Q1,1997 Q3,2017 Q2,13
Post-threshold ridge,2,2017 Q3,2018 Q1,1997 Q3,2017 Q2,13
OCMT,2,2017 Q3,2018 Q1,1997 Q3,2017 Q2,0
BMT,2,2017 Q3,2018 Q1,1997 Q3,2017 Q2,0
AR,2,2017 Q4,2018 Q2,1997 Q4,2017 Q3,0
LASSO,2,2017 Q4,2018 Q2,1997 Q4,2017 Q3,0
Elastic net,2,2017 Q4,2018 Q2,1997 Q4,2017 Q3,0
Ridge,2,2017 Q4,2018 Q2,1997 Q4,2017 Q3,NA
Threshold ridge,2,2017 Q4,2018 Q2,1997 Q4,2017 Q3,15
Post-threshold ridge,2,2017 Q4,2018 Q2,1997 Q4,2017 Q3,15
OCMT,2,2017 Q4,2018 Q2,1997 Q4,2017 Q3,0
BMT,2,2017 Q4,2018 Q2,1997 Q4,2017 Q3,0
AR,2,2018 Q1,2018 Q3,1998 Q1,2017 Q4,0
LASSO,2,2018 Q1,2018 Q3,1998 Q1,2017 Q4,1
Elastic net,2,2018 Q1,2018 Q3,1998 Q1,2017 Q4,1
Ridge,2,2018 Q1,2018 Q3,1998 Q1,2017 Q4,NA
Threshold ridge,2,2018 Q1,2018 Q3,1998 Q1,2017 Q4,13
Post-threshold ridge,2,2018 Q1,2018 Q3,1998 Q1,2017 Q4,13
OCMT,2,2018 Q1,2018 Q3,1998 Q1,2017 Q4,0
BMT,2,2018 Q1,2018 Q3,1998 Q1,2017 Q4,0
AR,2,2018 Q2,2018 Q4,1998 Q2,2018 Q1,0
LASSO,2,2018 Q2,2018 Q4,1998 Q2,2018 Q1,0
Elastic net,2,2018 Q2,2018 Q4,1998 Q2,2018 Q1,1
Ridge,2,2018 Q2,2018 Q4,1998 Q2,2018 Q1,NA
Threshold ridge,2,2018 Q2,2018 Q4,1998 Q2,2018 Q1,14
Post-threshold ridge,2,2018 Q2,2018 Q4,1998 Q2,2018 Q1,14
OCMT,2,2018 Q2,2018 Q4,1998 Q2,2018 Q1,0
BMT,2,2018 Q2,2018 Q4,1998 Q2,2018 Q1,0
AR,2,2018 Q3,2019 Q1,1998 Q3,2018 Q2,0
LASSO,2,2018 Q3,2019 Q1,1998 Q3,2018 Q2,0
Elastic net,2,2018 Q3,2019 Q1,1998 Q3,2018 Q2,0
Ridge,2,2018 Q3,2019 Q1,1998 Q3,2018 Q2,NA
Threshold ridge,2,2018 Q3,2019 Q1,1998 Q3,2018 Q2,12
Post-threshold ridge,2,2018 Q3,2019 Q1,1998 Q3,2018 Q2,12
OCMT,2,2018 Q3,2019 Q1,1998 Q3,2018 Q2,0
BMT,2,2018 Q3,2019 Q1,1998 Q3,2018 Q2,0
AR,2,2018 Q4,2019 Q2,1998 Q4,2018 Q3,0
LASSO,2,2018 Q4,2019 Q2,1998 Q4,2018 Q3,0
Elastic net,2,2018 Q4,2019 Q2,1998 Q4,2018 Q3,1
Ridge,2,2018 Q4,2019 Q2,1998 Q4,2018 Q3,NA
Threshold ridge,2,2018 Q4,2019 Q2,1998 Q4,2018 Q3,14
Post-threshold ridge,2,2018 Q4,2019 Q2,1998 Q4,2018 Q3,14
OCMT,2,2018 Q4,2019 Q2,1998 Q4,2018 Q3,0
BMT,2,2018 Q4,2019 Q2,1998 Q4,2018 Q3,0
AR,2,2019 Q1,2019 Q3,1999 Q1,2018 Q4,0
LASSO,2,2019 Q1,2019 Q3,1999 Q1,2018 Q4,1
Elastic net,2,2019 Q1,2019 Q3,1999 Q1,2018 Q4,1
Ridge,2,2019 Q1,2019 Q3,1999 Q1,2018 Q4,NA
Threshold ridge,2,2019 Q1,2019 Q3,1999 Q1,2018 Q4,13
Post-threshold ridge,2,2019 Q1,2019 Q3,1999 Q1,2018 Q4,13
OCMT,2,2019 Q1,2019 Q3,1999 Q1,2018 Q4,0
BMT,2,2019 Q1,2019 Q3,1999 Q1,2018 Q4,0
AR,2,2019 Q2,2019 Q4,1999 Q2,2019 Q1,0
LASSO,2,2019 Q2,2019 Q4,1999 Q2,2019 Q1,1
Elastic net,2,2019 Q2,2019 Q4,1999 Q2,2019 Q1,1
Ridge,2,2019 Q2,2019 Q4,1999 Q2,2019 Q1,NA
Threshold ridge,2,2019 Q2,2019 Q4,1999 Q2,2019 Q1,16
Post-threshold ridge,2,2019 Q2,2019 Q4,1999 Q2,2019 Q1,16
OCMT,2,2019 Q2,2019 Q4,1999 Q2,2019 Q1,1
BMT,2,2019 Q2,2019 Q4,1999 Q2,2019 Q1,2
AR,4,2005 Q2,2006 Q2,1985 Q2,2005 Q1,0
LASSO,4,2005 Q2,2006 Q2,1985 Q2,2005 Q1,0
Elastic net,4,2005 Q2,2006 Q2,1985 Q2,2005 Q1,1
Ridge,4,2005 Q2,2006 Q2,1985 Q2,2005 Q1,NA
Threshold ridge,4,2005 Q2,2006 Q2,1985 Q2,2005 Q1,14
Post-threshold ridge,4,2005 Q2,2006 Q2,1985 Q2,2005 Q1,14
OCMT,4,2005 Q2,2006 Q2,1985 Q2,2005 Q1,0
BMT,4,2005 Q2,2006 Q2,1985 Q2,2005 Q1,0
AR,4,2005 Q3,2006 Q3,1985 Q3,2005 Q2,0
LASSO,4,2005 Q3,2006 Q3,1985 Q3,2005 Q2,0
Elastic net,4,2005 Q3,2006 Q3,1985 Q3,2005 Q2,0
Ridge,4,2005 Q3,2006 Q3,1985 Q3,2005 Q2,NA
Threshold ridge,4,2005 Q3,2006 Q3,1985 Q3,2005 Q2,16
Post-threshold ridge,4,2005 Q3,2006 Q3,1985 Q3,2005 Q2,16
OCMT,4,2005 Q3,2006 Q3,1985 Q3,2005 Q2,0
BMT,4,2005 Q3,2006 Q3,1985 Q3,2005 Q2,0
AR,4,2005 Q4,2006 Q4,1985 Q4,2005 Q3,0
LASSO,4,2005 Q4,2006 Q4,1985 Q4,2005 Q3,1
Elastic net,4,2005 Q4,2006 Q4,1985 Q4,2005 Q3,1
Ridge,4,2005 Q4,2006 Q4,1985 Q4,2005 Q3,NA
Threshold ridge,4,2005 Q4,2006 Q4,1985 Q4,2005 Q3,16
Post-threshold ridge,4,2005 Q4,2006 Q4,1985 Q4,2005 Q3,16
OCMT,4,2005 Q4,2006 Q4,1985 Q4,2005 Q3,0
BMT,4,2005 Q4,2006 Q4,1985 Q4,2005 Q3,0
AR,4,2006 Q1,2007 Q1,1986 Q1,2005 Q4,0
LASSO,4,2006 Q1,2007 Q1,1986 Q1,2005 Q4,0
Elastic net,4,2006 Q1,2007 Q1,1986 Q1,2005 Q4,0
Ridge,4,2006 Q1,2007 Q1,1986 Q1,2005 Q4,NA
Threshold ridge,4,2006 Q1,2007 Q1,1986 Q1,2005 Q4,17
Post-threshold ridge,4,2006 Q1,2007 Q1,1986 Q1,2005 Q4,17
OCMT,4,2006 Q1,2007 Q1,1986 Q1,2005 Q4,0
BMT,4,2006 Q1,2007 Q1,1986 Q1,2005 Q4,0
AR,4,2006 Q2,2007 Q2,1986 Q2,2006 Q1,0
LASSO,4,2006 Q2,2007 Q2,1986 Q2,2006 Q1,0
Elastic net,4,2006 Q2,2007 Q2,1986 Q2,2006 Q1,1
Ridge,4,2006 Q2,2007 Q2,1986 Q2,2006 Q1,NA
Threshold ridge,4,2006 Q2,2007 Q2,1986 Q2,2006 Q1,18
Post-threshold ridge,4,2006 Q2,2007 Q2,1986 Q2,2006 Q1,18
OCMT,4,2006 Q2,2007 Q2,1986 Q2,2006 Q1,0
BMT,4,2006 Q2,2007 Q2,1986 Q2,2006 Q1,0
AR,4,2006 Q3,2007 Q3,1986 Q3,2006 Q2,0
LASSO,4,2006 Q3,2007 Q3,1986 Q3,2006 Q2,0
Elastic net,4,2006 Q3,2007 Q3,1986 Q3,2006 Q2,0
Ridge,4,2006 Q3,2007 Q3,1986 Q3,2006 Q2,NA
Threshold ridge,4,2006 Q3,2007 Q3,1986 Q3,2006 Q2,18
Post-threshold ridge,4,2006 Q3,2007 Q3,1986 Q3,2006 Q2,18
OCMT,4,2006 Q3,2007 Q3,1986 Q3,2006 Q2,0
BMT,4,2006 Q3,2007 Q3,1986 Q3,2006 Q2,0
AR,4,2006 Q4,2007 Q4,1986 Q4,2006 Q3,0
LASSO,4,2006 Q4,2007 Q4,1986 Q4,2006 Q3,1
Elastic net,4,2006 Q4,2007 Q4,1986 Q4,2006 Q3,0
Ridge,4,2006 Q4,2007 Q4,1986 Q4,2006 Q3,NA
Threshold ridge,4,2006 Q4,2007 Q4,1986 Q4,2006 Q3,18
Post-threshold ridge,4,2006 Q4,2007 Q4,1986 Q4,2006 Q3,18
OCMT,4,2006 Q4,2007 Q4,1986 Q4,2006 Q3,0
BMT,4,2006 Q4,2007 Q4,1986 Q4,2006 Q3,0
AR,4,2007 Q1,2008 Q1,1987 Q1,2006 Q4,0
LASSO,4,2007 Q1,2008 Q1,1987 Q1,2006 Q4,1
Elastic net,4,2007 Q1,2008 Q1,1987 Q1,2006 Q4,1
Ridge,4,2007 Q1,2008 Q1,1987 Q1,2006 Q4,NA
Threshold ridge,4,2007 Q1,2008 Q1,1987 Q1,2006 Q4,20
Post-threshold ridge,4,2007 Q1,2008 Q1,1987 Q1,2006 Q4,20
OCMT,4,2007 Q1,2008 Q1,1987 Q1,2006 Q4,0
BMT,4,2007 Q1,2008 Q1,1987 Q1,2006 Q4,0
AR,4,2007 Q2,2008 Q2,1987 Q2,2007 Q1,0
LASSO,4,2007 Q2,2008 Q2,1987 Q2,2007 Q1,0
Elastic net,4,2007 Q2,2008 Q2,1987 Q2,2007 Q1,1
Ridge,4,2007 Q2,2008 Q2,1987 Q2,2007 Q1,NA
Threshold ridge,4,2007 Q2,2008 Q2,1987 Q2,2007 Q1,20
Post-threshold ridge,4,2007 Q2,2008 Q2,1987 Q2,2007 Q1,20
OCMT,4,2007 Q2,2008 Q2,1987 Q2,2007 Q1,0
BMT,4,2007 Q2,2008 Q2,1987 Q2,2007 Q1,0
AR,4,2007 Q3,2008 Q3,1987 Q3,2007 Q2,0
LASSO,4,2007 Q3,2008 Q3,1987 Q3,2007 Q2,1
Elastic net,4,2007 Q3,2008 Q3,1987 Q3,2007 Q2,1
Ridge,4,2007 Q3,2008 Q3,1987 Q3,2007 Q2,NA
Threshold ridge,4,2007 Q3,2008 Q3,1987 Q3,2007 Q2,20
Post-threshold ridge,4,2007 Q3,2008 Q3,1987 Q3,2007 Q2,20
OCMT,4,2007 Q3,2008 Q3,1987 Q3,2007 Q2,0
BMT,4,2007 Q3,2008 Q3,1987 Q3,2007 Q2,0
AR,4,2007 Q4,2008 Q4,1987 Q4,2007 Q3,0
LASSO,4,2007 Q4,2008 Q4,1987 Q4,2007 Q3,1
Elastic net,4,2007 Q4,2008 Q4,1987 Q4,2007 Q3,1
Ridge,4,2007 Q4,2008 Q4,1987 Q4,2007 Q3,NA
Threshold ridge,4,2007 Q4,2008 Q4,1987 Q4,2007 Q3,19
Post-threshold ridge,4,2007 Q4,2008 Q4,1987 Q4,2007 Q3,19
OCMT,4,2007 Q4,2008 Q4,1987 Q4,2007 Q3,0
BMT,4,2007 Q4,2008 Q4,1987 Q4,2007 Q3,0
AR,4,2008 Q1,2009 Q1,1988 Q1,2007 Q4,0
LASSO,4,2008 Q1,2009 Q1,1988 Q1,2007 Q4,0
Elastic net,4,2008 Q1,2009 Q1,1988 Q1,2007 Q4,1
Ridge,4,2008 Q1,2009 Q1,1988 Q1,2007 Q4,NA
Threshold ridge,4,2008 Q1,2009 Q1,1988 Q1,2007 Q4,17
Post-threshold ridge,4,2008 Q1,2009 Q1,1988 Q1,2007 Q4,17
OCMT,4,2008 Q1,2009 Q1,1988 Q1,2007 Q4,0
BMT,4,2008 Q1,2009 Q1,1988 Q1,2007 Q4,0
AR,4,2008 Q2,2009 Q2,1988 Q2,2008 Q1,0
LASSO,4,2008 Q2,2009 Q2,1988 Q2,2008 Q1,0
Elastic net,4,2008 Q2,2009 Q2,1988 Q2,2008 Q1,0
Ridge,4,2008 Q2,2009 Q2,1988 Q2,2008 Q1,NA
Threshold ridge,4,2008 Q2,2009 Q2,1988 Q2,2008 Q1,15
Post-threshold ridge,4,2008 Q2,2009 Q2,1988 Q2,2008 Q1,15
OCMT,4,2008 Q2,2009 Q2,1988 Q2,2008 Q1,0
BMT,4,2008 Q2,2009 Q2,1988 Q2,2008 Q1,0
AR,4,2008 Q3,2009 Q3,1988 Q3,2008 Q2,0
LASSO,4,2008 Q3,2009 Q3,1988 Q3,2008 Q2,0
Elastic net,4,2008 Q3,2009 Q3,1988 Q3,2008 Q2,1
Ridge,4,2008 Q3,2009 Q3,1988 Q3,2008 Q2,NA
Threshold ridge,4,2008 Q3,2009 Q3,1988 Q3,2008 Q2,15
Post-threshold ridge,4,2008 Q3,2009 Q3,1988 Q3,2008 Q2,15
OCMT,4,2008 Q3,2009 Q3,1988 Q3,2008 Q2,0
BMT,4,2008 Q3,2009 Q3,1988 Q3,2008 Q2,0
AR,4,2008 Q4,2009 Q4,1988 Q4,2008 Q3,0
LASSO,4,2008 Q4,2009 Q4,1988 Q4,2008 Q3,1
Elastic net,4,2008 Q4,2009 Q4,1988 Q4,2008 Q3,0
Ridge,4,2008 Q4,2009 Q4,1988 Q4,2008 Q3,NA
Threshold ridge,4,2008 Q4,2009 Q4,1988 Q4,2008 Q3,15
Post-threshold ridge,4,2008 Q4,2009 Q4,1988 Q4,2008 Q3,15
OCMT,4,2008 Q4,2009 Q4,1988 Q4,2008 Q3,0
BMT,4,2008 Q4,2009 Q4,1988 Q4,2008 Q3,0
AR,4,2009 Q1,2010 Q1,1989 Q1,2008 Q4,0
LASSO,4,2009 Q1,2010 Q1,1989 Q1,2008 Q4,1
Elastic net,4,2009 Q1,2010 Q1,1989 Q1,2008 Q4,0
Ridge,4,2009 Q1,2010 Q1,1989 Q1,2008 Q4,NA
Threshold ridge,4,2009 Q1,2010 Q1,1989 Q1,2008 Q4,17
Post-threshold ridge,4,2009 Q1,2010 Q1,1989 Q1,2008 Q4,17
OCMT,4,2009 Q1,2010 Q1,1989 Q1,2008 Q4,0
BMT,4,2009 Q1,2010 Q1,1989 Q1,2008 Q4,0
AR,4,2009 Q2,2010 Q2,1989 Q2,2009 Q1,0
LASSO,4,2009 Q2,2010 Q2,1989 Q2,2009 Q1,0
Elastic net,4,2009 Q2,2010 Q2,1989 Q2,2009 Q1,0
Ridge,4,2009 Q2,2010 Q2,1989 Q2,2009 Q1,NA
Threshold ridge,4,2009 Q2,2010 Q2,1989 Q2,2009 Q1,17
Post-threshold ridge,4,2009 Q2,2010 Q2,1989 Q2,2009 Q1,17
OCMT,4,2009 Q2,2010 Q2,1989 Q2,2009 Q1,0
BMT,4,2009 Q2,2010 Q2,1989 Q2,2009 Q1,0
AR,4,2009 Q3,2010 Q3,1989 Q3,2009 Q2,0
LASSO,4,2009 Q3,2010 Q3,1989 Q3,2009 Q2,0
Elastic net,4,2009 Q3,2010 Q3,1989 Q3,2009 Q2,1
Ridge,4,2009 Q3,2010 Q3,1989 Q3,2009 Q2,NA
Threshold ridge,4,2009 Q3,2010 Q3,1989 Q3,2009 Q2,16
Post-threshold ridge,4,2009 Q3,2010 Q3,1989 Q3,2009 Q2,16
OCMT,4,2009 Q3,2010 Q3,1989 Q3,2009 Q2,0
BMT,4,2009 Q3,2010 Q3,1989 Q3,2009 Q2,0
AR,4,2009 Q4,2010 Q4,1989 Q4,2009 Q3,0
LASSO,4,2009 Q4,2010 Q4,1989 Q4,2009 Q3,0
Elastic net,4,2009 Q4,2010 Q4,1989 Q4,2009 Q3,0
Ridge,4,2009 Q4,2010 Q4,1989 Q4,2009 Q3,NA
Threshold ridge,4,2009 Q4,2010 Q4,1989 Q4,2009 Q3,19
Post-threshold ridge,4,2009 Q4,2010 Q4,1989 Q4,2009 Q3,19
OCMT,4,2009 Q4,2010 Q4,1989 Q4,2009 Q3,0
BMT,4,2009 Q4,2010 Q4,1989 Q4,2009 Q3,0
AR,4,2010 Q1,2011 Q1,1990 Q1,2009 Q4,0
LASSO,4,2010 Q1,2011 Q1,1990 Q1,2009 Q4,0
Elastic net,4,2010 Q1,2011 Q1,1990 Q1,2009 Q4,0
Ridge,4,2010 Q1,2011 Q1,1990 Q1,2009 Q4,NA
Threshold ridge,4,2010 Q1,2011 Q1,1990 Q1,2009 Q4,19
Post-threshold ridge,4,2010 Q1,2011 Q1,1990 Q1,2009 Q4,19
OCMT,4,2010 Q1,2011 Q1,1990 Q1,2009 Q4,0
BMT,4,2010 Q1,2011 Q1,1990 Q1,2009 Q4,0
AR,4,2010 Q2,2011 Q2,1990 Q2,2010 Q1,0
LASSO,4,2010 Q2,2011 Q2,1990 Q2,2010 Q1,1
Elastic net,4,2010 Q2,2011 Q2,1990 Q2,2010 Q1,1
Ridge,4,2010 Q2,2011 Q2,1990 Q2,2010 Q1,NA
Threshold ridge,4,2010 Q2,2011 Q2,1990 Q2,2010 Q1,19
Post-threshold ridge,4,2010 Q2,2011 Q2,1990 Q2,2010 Q1,19
OCMT,4,2010 Q2,2011 Q2,1990 Q2,2010 Q1,0
BMT,4,2010 Q2,2011 Q2,1990 Q2,2010 Q1,0
AR,4,2010 Q3,2011 Q3,1990 Q3,2010 Q2,0
LASSO,4,2010 Q3,2011 Q3,1990 Q3,2010 Q2,0
Elastic net,4,2010 Q3,2011 Q3,1990 Q3,2010 Q2,0
Ridge,4,2010 Q3,2011 Q3,1990 Q3,2010 Q2,NA
Threshold ridge,4,2010 Q3,2011 Q3,1990 Q3,2010 Q2,19
Post-threshold ridge,4,2010 Q3,2011 Q3,1990 Q3,2010 Q2,19
OCMT,4,2010 Q3,2011 Q3,1990 Q3,2010 Q2,0
BMT,4,2010 Q3,2011 Q3,1990 Q3,2010 Q2,0
AR,4,2010 Q4,2011 Q4,1990 Q4,2010 Q3,0
LASSO,4,2010 Q4,2011 Q4,1990 Q4,2010 Q3,0
Elastic net,4,2010 Q4,2011 Q4,1990 Q4,2010 Q3,1
Ridge,4,2010 Q4,2011 Q4,1990 Q4,2010 Q3,NA
